"value","income","age","rooms","bedrooms","pop","hh"
109500,3.5156,44,1487,314,961,272
164700,3.9048,52,3424,690,2273,685
125000,3.0893,52,762,190,600,195
124700,2.6042,46,2366,575,1647,527
136700,2.5,49,1826,450,1201,424
141700,2.7969,38,3049,711,2167,659
150000,2.8321,29,1640,376,939,340
138800,2.9583,47,1543,307,859,292
139200,2.8365,34,2364,557,1517,516
143800,2.875,35,1745,409,1143,386
156500,3.0682,39,2003,500,1109,464
151000,3.0757,39,2018,447,1221,446
273000,4.9559,43,3045,499,1115,455
217100,4.7721,52,1547,293,706,268
187100,3.4861,52,3519,711,1883,706
239600,5.1184,41,2070,354,804,340
229700,4.0977,48,1321,263,506,252
257300,4.744,48,1694,259,610,238
246900,4.2727,46,1938,341,768,332
179900,2.9844,50,968,195,462,184
169600,4.1739,40,1060,256,667,235
203300,3.8487,46,2041,405,1059,399
263400,4.0114,52,1813,271,637,277
231800,4.6563,45,2718,451,1106,454
140500,2.9297,28,3144,761,1737,669
126000,2.3036,35,1802,459,1009,390
122000,2.6667,49,882,195,737,210
134700,2.619,44,1621,452,1354,491
139400,2.4167,45,2115,533,1530,474
115400,2.7788,45,2021,528,1410,480
137300,2.7352,46,2239,508,1390,569
137000,1.8472,52,1477,300,1065,269
142600,2.6583,52,1056,224,792,245
137500,3.0536,49,898,244,779,245
111700,2.3906,44,2968,710,2269,610
126800,1.7188,43,1702,460,1227,407
111300,2.625,47,881,248,753,241
114800,2.8015,40,494,114,547,135
102300,1.7276,50,1776,473,1807,440
131900,2.0801,44,1678,514,1700,495
119100,2.489,51,1637,463,1543,393
80600,1.7546,52,1420,314,1085,300
80600,4.0904,52,591,173,353,137
88800,2.6765,52,745,153,473,149
102400,2.4338,49,2272,498,1621,483
98700,2.3309,46,1234,375,1183,354
1e+05,2.2604,43,1017,328,836,277
92300,1.8039,42,932,254,900,263
94800,2.2562,39,2689,597,1888,537
102000,2.0562,41,1547,415,1024,341
158400,3.5398,52,2300,443,1225,423
121600,3.1167,39,1752,399,1071,376
129100,2.5401,50,1867,403,1128,378
121400,2.898,43,2430,502,1537,484
102800,2.3125,44,1729,414,1240,393
160000,2.875,52,1026,180,469,168
143900,3.3715,52,2170,428,1086,425
151200,3.5114,52,2329,445,1144,417
164400,4.3125,52,2492,415,1109,375
156500,3.22,52,2198,397,984,369
225000,3.875,33,142,31,575,47
174200,5.2328,49,1183,205,496,209
166900,3.7262,52,1070,193,555,190
163500,4.5893,45,1766,332,869,327
253000,5.2578,39,617,95,236,106
240700,7.0875,41,1411,233,626,214
208100,3.9712,46,2109,387,922,329
198100,2.9514,47,1229,243,582,256
172800,2.6667,50,954,217,546,201
336700,5.4446,37,1643,262,620,266
318200,6.2838,34,1355,195,442,195
285800,6.7527,23,2317,336,955,328
293000,7.0712,24,2459,317,916,324
371000,5.9849,22,12842,2048,4985,1967
157300,3.6875,42,1524,260,651,267
135300,2.875,30,3326,746,1704,703
136700,3.4205,43,1985,440,1085,407
160700,3.2984,50,1642,322,713,284
140600,3.875,49,893,177,468,181
144000,4.175,52,653,128,296,121
161900,4.375,47,1256,217,570,218
156300,4.7708,48,977,194,446,180
176000,3.5739,45,2324,397,968,384
145800,3.0958,39,1583,349,857,316
141900,3.3958,39,1612,342,912,322
90700,1.871,31,2424,533,1360,452
90600,1.9356,41,1594,367,1074,355
107900,2.1842,47,2118,413,965,382
107000,2.2917,37,1575,358,933,320
98200,2.4333,38,1764,397,987,354
89500,1.9479,50,1187,261,907,246
93800,3.9063,52,754,175,447,165
96700,1.8407,49,2308,452,1299,451
97500,2.0786,27,909,236,396,157
97300,2.8125,42,1180,257,877,268
91200,1.8913,43,2018,408,1111,367
91400,1.7056,49,1368,282,790,269
96200,2.2768,52,2744,547,1479,554
120100,3.2552,51,2107,471,1173,438
1e+05,2.0556,52,1748,362,1029,366
94700,2.4659,52,2024,391,1030,350
85700,1.75,47,1116,259,826,279
89300,2.0469,41,2036,510,1412,454
101400,2.7159,45,1852,393,1132,349
72500,1.2083,41,921,207,522,159
74100,1.925,45,995,238,630,237
70000,1.5809,36,606,132,531,133
84600,1.4097,37,2680,736,1925,667
81800,0.7683,38,1493,370,1144,351
81400,1.3194,19,2207,565,1481,520
81800,0.8012,28,856,189,435,162
85800,1.9479,26,1293,297,984,303
87100,1.1765,36,847,212,567,159
83500,2.3456,42,541,154,380,123
79700,2.1538,44,1066,253,825,244
83400,2.5139,43,707,147,417,155
84700,1.2625,45,1528,291,801,287
80000,2.9063,42,909,215,646,198
76400,2.5192,43,1391,293,855,285
79700,2.1111,44,548,119,435,136
82400,2.455,42,4074,874,2736,780
97700,2.4028,41,1613,445,1481,414
97200,2.15,47,463,134,327,137
101600,2.4776,43,818,193,494,179
86500,2.1587,43,1473,371,1231,341
90500,1.8438,35,504,126,323,109
107600,3.0298,46,1026,226,749,225
84200,2.25,46,769,183,693,178
88900,2.2467,46,2103,391,1339,354
80700,4.0469,45,330,76,282,80
87100,1.325,46,941,218,621,195
85100,1.6196,38,992,279,732,259
82000,2.1731,45,990,261,901,260
82800,1.9167,36,1126,263,482,150
84600,2.069,43,1036,233,652,213
82100,1.712,36,1047,214,651,166
89300,2.5625,33,1280,307,999,286
98300,1.9821,43,1587,320,907,306
92300,2.5043,41,1257,271,828,230
88800,2.3281,44,1218,248,763,254
90000,1.4375,48,1751,390,935,349
95500,2.5122,45,2299,514,1437,484
91700,1.5625,38,2457,624,1516,482
100400,3.1587,47,998,211,597,185
94800,1.8426,40,1685,343,949,342
164300,4.6696,46,1827,307,881,302
155500,2.4598,36,2781,574,1438,519
196900,6.0749,39,1823,286,763,270
279100,4.8304,27,2229,365,1297,355
252800,5.5701,34,1513,231,545,211
275400,5.37,26,3266,491,1222,533
250000,6.86,33,1809,261,808,219
329800,7.6923,28,794,111,329,109
195500,4.0313,36,690,105,299,109
255900,6.8323,33,1334,200,579,202
311100,4.975,30,414,54,137,50
330000,5.3602,36,768,93,229,93
248900,5,41,4400,666,1476,648
142900,2.925,46,954,161,429,154
126300,3.8913,40,1445,256,849,255
135800,3.225,44,1938,399,946,331
130600,3.1458,41,856,178,571,191
107900,2.537,24,1790,454,1137,386
111100,2.5568,44,617,131,378,135
122000,3.5083,43,1383,275,853,272
118000,3.3125,49,1325,277,764,282
95200,1.8235,40,1227,294,928,261
94300,3.8047,35,667,140,406,133
92500,2.2917,34,1223,281,824,280
91800,2.4962,37,1379,287,835,259
109400,4.0417,43,1534,300,826,295
129500,3.4844,46,1029,181,567,211
143400,4.1458,52,771,147,355,144
98200,2.625,47,824,223,533,166
103100,2.0227,44,1097,239,609,215
276800,3.3333,49,1283,238,576,236
270900,5.338,52,1604,263,594,286
246200,3.4732,52,2248,422,870,377
224200,3.5125,38,2263,522,1027,509
229100,3.1375,52,1571,349,693,326
211600,2.8036,46,1520,402,815,375
256100,4.5824,15,5083,1212,2420,1146
206300,3.0208,36,1077,293,518,276
221300,4.0875,52,1248,283,620,275
207400,4.5268,42,1342,291,551,266
350000,1.7375,37,3061,930,2556,924
218200,3.1795,52,3171,698,1498,696
216700,3.8672,50,1211,261,523,227
270600,5.1675,52,979,175,374,153
261400,5.1696,52,2269,380,1004,371
261300,4.2614,52,1844,332,769,334
232200,5.0551,52,2178,421,940,423
375400,5.6228,42,1650,274,645,256
357300,7.8864,52,1927,279,705,288
374400,7.9556,52,2079,273,684,275
358800,6.174,52,1803,240,572,236
417500,6.9414,52,2041,270,671,253
430500,8.8342,52,3046,373,975,365
362900,7.1754,52,2318,328,779,312
397000,10.0825,52,2003,250,658,244
346800,4.9083,52,2261,328,819,335
327100,5.7912,52,1225,169,412,168
290100,4.5893,52,2315,408,835,369
292000,5.4171,52,2070,329,722,306
270900,4.125,52,2616,473,1085,487
371100,7.266,52,2640,366,973,355
335600,5.3989,52,1978,293,723,272
371300,7.8336,37,2220,335,903,362
344000,6.1593,41,1125,195,356,181
342200,6.381,52,3078,494,1005,462
370900,6.6828,52,3706,531,1205,504
350000,7.5385,37,3000,457,987,450
368600,6.7138,42,2863,460,1031,448
391800,6.2425,52,2551,417,894,404
415300,5.7979,52,2255,410,823,377
284900,4.2813,52,3360,648,1232,621
287500,3.5417,52,1693,391,669,367
272900,3.0132,44,2252,592,989,550
259600,4.1429,52,2495,491,1058,464
254500,4.1912,52,1193,200,506,207
235600,3.9167,52,1172,215,489,218
218400,3.8897,52,2159,424,824,388
229200,3.1065,48,2365,490,1034,475
192100,2.9926,46,1895,442,920,425
179300,3.556,52,1650,395,841,380
187500,1.475,45,453,146,749,137
138800,1.6971,52,409,97,208,98
150000,2.1705,10,503,118,228,100
140600,2.75,50,499,127,287,128
120000,2.5682,52,477,119,218,106
144800,2.9,46,1647,376,854,355
144800,2.2208,52,3123,749,1695,684
245500,3.2344,52,957,188,403,172
2e+05,3.5156,52,589,132,288,131
173700,1.9805,49,2026,548,963,521
185600,2.6684,50,1829,536,1129,516
182600,3.875,52,895,198,386,204
227900,3.006,52,1909,416,811,406
220700,2.543,46,3022,696,1293,675
212000,2.8676,46,1777,446,805,431
271400,2.1907,52,2803,930,1372,876
268800,1.7778,30,1465,439,862,425
277800,2.52,37,2619,682,1152,616
332500,4.2788,52,1149,255,483,249
338900,2.944,52,2363,604,1558,573
287500,1.725,52,2604,837,1798,769
384600,5.2289,41,685,141,266,123
371400,2.5562,42,1756,465,2184,422
350000,0.949,52,1204,460,2016,477
500001,1.1696,52,609,236,1349,250
175000,1.4012,52,1087,371,3337,350
241700,1.1859,52,2773,998,1721,949
216700,1.7464,35,3218,1108,1675,1000
211300,2.8846,49,1350,368,707,350
210200,2.7372,52,3084,698,1424,694
196400,3.8594,52,938,195,393,189
191700,3.5625,52,1813,353,828,339
182300,2.2788,52,1233,300,571,292
175000,2.537,44,2539,755,1382,713
165900,2.525,46,1267,324,792,321
156900,1.9946,52,1665,404,815,372
164300,2.8214,52,1659,367,788,346
150000,2.6165,52,2225,460,1145,430
150500,1.9483,50,2485,607,1354,563
169900,1.9327,52,2031,450,958,445
147400,1.9798,49,2932,668,1361,608
152700,2.4167,52,2246,472,1005,449
182700,2.5417,49,2052,435,924,414
179300,3.3906,52,1999,417,780,358
157700,2.5652,52,3007,691,1582,636
153100,2.2845,41,2214,550,1213,568
250000,2.6071,52,1088,305,486,267
206300,3.15,52,834,186,494,175
218800,2.6914,52,1769,372,849,365
198200,1.8447,52,2307,583,1127,548
253600,1.6307,35,5161,1744,3276,1742
257400,2.9044,52,3497,832,1493,794
289500,2.9405,52,3774,744,1461,679
241700,3.3893,52,2888,604,1253,538
489600,3.0417,48,2153,517,1656,459
446200,7.0897,52,1389,191,514,202
456300,5.0463,52,1709,318,719,295
336800,1.7652,52,1587,444,878,449
500001,7.8521,52,1668,225,517,214
500001,9.3959,52,3726,474,1366,496
376900,5.3794,52,4048,663,1316,590
309600,3.2619,52,3618,768,1508,755
182300,2.7054,52,4076,920,1800,815
172700,2.2431,47,2077,400,719,326
150800,1.9028,50,1279,300,675,255
153600,1.5817,52,1974,426,875,363
106300,2.2841,52,335,83,152,77
142300,1.3785,47,1375,307,843,319
119400,2.9018,52,610,145,281,132
147900,1.73,44,1025,198,506,204
132900,2.2625,48,2063,484,1054,466
132500,2.2106,35,1872,419,1017,414
126900,2.6997,52,3108,813,1623,765
143800,4.0018,14,7355,2408,3100,2051
500001,7.8772,52,2990,379,947,361
500001,11.8603,39,2492,310,808,315
500001,13.499,42,2991,335,1018,335
500001,12.2138,52,3242,366,1001,352
466100,8.1872,52,3051,381,1005,369
500001,12.3804,52,3494,396,1192,383
457800,5.8948,52,1757,246,585,227
471600,8.1194,52,2449,312,916,316
500001,8.7477,52,1611,203,556,179
398600,6.155,52,3665,517,1470,520
340700,5.883,52,2474,403,1104,398
289900,5.2128,52,3037,516,1242,518
335300,4.7188,52,2269,323,805,321
333000,5.2915,52,1316,177,378,162
241000,2.6411,52,1153,235,481,223
189600,3.3214,52,772,179,409,160
206300,3.6417,52,1711,386,885,373
215700,3.0161,52,2650,566,1468,567
210200,3.1771,52,1038,220,482,215
208800,3.4531,52,1527,320,825,264
197900,4.3098,52,859,157,429,158
201300,3.3438,52,970,217,528,208
190800,2.9213,52,1045,239,496,216
207900,2.6806,52,1408,280,718,265
215300,3.7708,52,1222,264,630,265
212900,3.9444,45,1169,263,723,286
292700,5.2601,13,2020,535,959,486
275000,2.5444,30,4145,869,3668,855
2e+05,2.6447,42,2038,368,2037,355
173400,2.5762,29,5154,1394,3741,1273
102200,1.9427,42,1241,309,821,300
220800,2.9688,52,1468,363,870,347
242800,3.75,27,3997,1073,1901,966
265400,5.1702,18,2873,763,1243,663
219000,2.5139,50,1487,306,730,327
282100,2.9732,52,1670,350,793,299
372000,5.5337,52,2252,388,1033,434
225800,4.1667,52,1731,377,872,363
220800,2.7115,52,1710,481,849,457
234500,3.3269,52,2388,559,1121,518
254200,3.2685,52,2156,458,872,445
351800,4.7778,52,1565,315,637,297
275000,4.226,52,1704,371,663,340
405400,3.3571,52,1210,168,411,172
228100,2.9899,52,2097,444,915,413
234000,2.875,52,1848,479,921,477
162500,2.3882,43,955,284,585,266
243400,2.975,43,4329,1110,2086,1053
273800,5.1039,52,3011,542,1303,535
248500,4.1458,52,1049,185,374,176
244000,3.4762,52,2504,516,979,472
240900,2.6833,52,1846,471,827,446
306300,5.75,52,1705,246,658,253
240000,3.9632,50,1542,289,654,268
247100,4.9489,45,891,155,384,146
286600,4.8711,27,4051,753,1499,797
266700,3.0718,52,2646,581,1128,522
229800,3.6719,49,2428,525,1110,492
229300,4.6094,52,2567,436,1119,415
228400,4.5213,21,7031,1249,2930,1235
206200,4.4562,25,1914,365,897,390
350700,7.611,5,18634,2885,7427,2718
231000,3.2689,31,5785,1379,2973,1312
252900,3.567,52,2876,648,1340,632
353900,3.6875,28,6909,1554,2974,1484
291700,4.7695,23,5679,1270,2690,1151
1e+05,3.1972,20,1156,365,583,326
341600,7.2634,12,14316,2045,5781,2007
412500,7.0568,5,3596,467,1738,512
248600,4.635,36,3541,570,1478,529
254900,5.3015,40,1808,302,746,270
241500,4.9801,36,2879,480,1235,455
295200,5.4834,26,3204,477,1411,484
340400,6.187,31,3866,531,1368,521
274700,5.6194,32,2476,368,1048,367
238600,5.4639,35,2211,350,1004,365
266400,5.1498,35,2663,387,1086,367
330200,5.8382,30,2599,366,922,350
206800,4.65,36,4569,824,1950,819
209200,4.3819,25,2973,622,1413,595
195800,3.7222,30,3115,625,1444,568
253500,5.2855,31,1843,282,749,269
241800,4.3375,31,2053,336,867,329
252500,5.2131,27,6740,1073,2723,1035
263900,6.005,30,1751,269,731,263
227000,5.0519,38,1663,295,781,301
220900,4.8237,38,3716,657,1784,652
259300,5.2497,32,2718,447,1156,410
232500,4.125,39,1420,272,645,277
231600,4.6005,37,1893,310,821,315
209400,3.5187,33,3906,790,1912,770
223200,3,32,3400,736,1487,694
209900,3.4934,25,3402,758,1645,710
208200,2.9861,33,4413,1107,2239,1051
203800,2.5362,29,2304,618,1021,552
195700,3.3021,36,2350,499,1105,467
190500,3.0964,31,5914,1309,2999,1295
181000,2.8512,43,1575,324,740,284
184900,3.3478,42,1414,274,629,244
190800,2.3958,37,848,202,314,205
242200,3.5295,15,3051,685,1479,668
188300,4.8036,20,4296,817,1732,800
183500,3.851,52,2898,557,1338,550
204200,4.0662,52,1071,201,440,192
251900,4.6042,51,2619,403,922,393
187500,2.2,49,1494,316,611,288
198200,4.1164,52,2260,416,994,412
219000,3.95,52,1394,223,545,230
275000,4.9135,52,1028,129,317,143
245400,2.8355,45,3758,819,1573,736
177500,3.25,46,2163,470,925,435
171600,2.8301,49,1699,408,768,385
183300,3.7159,52,1555,289,620,292
175000,2.5625,52,1114,206,425,207
156700,3.8047,45,1498,313,1003,305
157500,3.375,45,726,147,519,135
179800,3.244,38,890,200,481,198
205500,4.0268,36,2639,533,1209,519
178900,3.3906,35,2562,554,1398,525
262500,5.5461,36,361,69,158,58
165000,3.371,42,3008,659,1817,664
159700,3.5313,46,1369,284,766,289
158300,3.663,5,1692,398,814,328
144800,2.875,38,1007,245,618,239
166300,4.0202,43,3783,814,2139,789
191000,4.5553,37,1507,242,632,253
175000,3.4643,36,666,132,366,134
137500,3.3431,10,2229,601,877,485
141700,2.1898,28,2215,587,830,573
210900,2.9097,31,1616,372,739,379
198300,3.375,47,1190,251,540,266
157400,2.8125,29,4169,1047,2024,962
264700,5,52,2024,320,823,334
218400,3.0673,38,1723,394,711,353
235100,3.8125,43,2264,390,931,368
341800,6.9096,33,1996,268,686,270
367300,7.912,26,2862,394,1030,397
243500,3.8393,35,2183,383,976,392
167900,4,35,1037,207,552,210
371200,6.5095,25,1134,153,340,171
218900,3.5156,39,786,132,288,132
202700,2.983,45,1397,253,555,248
186200,3.524,45,2315,451,1006,444
188900,3.1103,44,1613,339,776,346
180000,3.5781,44,1421,298,609,270
202700,3.1682,18,5778,1526,2441,1352
181700,2.6101,27,3094,866,1364,789
166800,3.6932,18,3905,1007,2197,1044
183700,3.4583,43,3046,557,1333,544
218000,3.9032,19,3516,710,1810,703
191500,4.0208,36,998,178,531,183
194700,3.5547,36,1464,244,672,261
187200,4.5859,17,1463,292,695,330
223100,2.6321,21,4124,1054,2162,998
271300,3.395,17,2380,769,1216,643
194100,3.9702,36,1266,228,606,239
190400,5.0043,36,2239,391,1203,379
189100,4.4659,38,1571,317,874,301
184600,3.6625,38,1246,221,637,222
197300,3.8864,36,1501,287,703,276
192600,3.4583,36,1468,252,733,229
192200,3.7813,36,1118,219,625,228
194600,2.9917,36,1097,208,568,225
193500,4.4375,36,1719,303,836,311
202600,4,24,1755,365,952,362
83300,2.3869,16,1687,348,568,352
212600,4.7609,24,2262,391,1125,366
187800,5.4858,5,2087,407,840,401
205700,4.3971,36,1480,278,796,283
192900,4.0109,36,1545,273,863,267
205200,4.3864,35,2632,447,1349,486
213400,4.2841,30,2261,443,929,383
183600,5.1312,39,1670,308,957,335
178400,2.9958,37,2141,535,1093,555
219200,3.6364,27,3337,613,1489,607
183100,2.7955,31,3184,716,1561,628
157100,2.9507,44,2341,500,1256,485
157800,3.4375,30,1197,269,695,279
161700,2.875,34,1131,278,560,237
152100,3.0345,38,1164,284,632,289
144900,2.679,41,3495,787,1849,750
179900,2.9922,17,2488,617,1287,538
179100,4.1042,35,2681,508,1580,536
159900,2.5833,19,2495,635,1571,579
161400,2.1552,23,1689,461,828,443
170400,2.3274,29,1298,306,835,338
137500,2.4206,19,2693,789,1765,724
178400,3.9063,41,746,145,387,161
155200,2.6464,37,2444,651,1562,618
160900,3.4643,42,1472,310,768,309
167300,2.3973,10,2227,560,1140,472
340000,6.5,20,200,25,83,31
431000,6.0574,32,1283,194,485,171
301100,3.8958,6,2445,590,1189,573
241900,4.7813,21,1307,236,586,249
162500,3.2829,5,3785,936,2240,792
299200,5.3169,10,2031,357,867,352
315500,6.2579,10,8299,1326,3827,1288
216800,5.1701,23,7518,1279,3827,1294
218100,3.25,36,1815,426,1280,431
170300,3.1796,30,5367,1207,2667,1047
275000,2.4196,26,1167,370,253,137
184100,2.6563,26,2607,682,1401,607
160000,0.9637,29,493,168,233,152
175000,2.3357,48,1252,305,673,308
197500,3.5114,41,1382,353,704,314
150000,3.3125,43,500,110,273,120
205600,2.4042,29,2333,538,1120,540
170300,2.8322,41,1834,463,1105,467
190900,2.5156,43,1415,348,569,293
196900,3.4032,37,1352,342,691,324
174000,2.535,37,2116,503,1109,448
170200,2.5772,37,1976,481,1197,465
180900,3.0962,38,1779,413,1061,400
150500,2.9564,34,3659,897,2479,903
167100,3.125,31,1892,428,1162,389
148900,2.95,35,1958,484,1146,448
196400,4.38,40,1553,253,724,267
191100,4.0417,37,2412,394,975,375
187500,3.8,36,2110,389,952,370
